,Problem,Step,Success,Skill,Opportunity,Student_ID
74,PENTAGON_ABCDE,(AREA QUESTION1),0,pentagon-area,1,11
75,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,2,11
76,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,3,11
77,TRIANGLE_AREA,(AREA QUESTION1),1,triangle-area,9,11
78,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),0,triangle-area,10,11
79,TRIANGLE_BASE,(BASE QUESTION3),0,triangle-area,11,11
80,DESIGNING_A_QUILT,(AREA QUESTION1),1,triangle-area,12,11
81,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),1,compose-by-multiplication,11,11
82,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),1,compose-by-multiplication,12,11
83,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),1,compose-by-multiplication,13,11
84,DESIGNING_A_QUILT,(AREA QUESTION2),1,triangle-area,13,11
85,DESIGNING_A_QUILT,(WHITE-AREA QUESTION2),0,compose-by-multiplication,14,11
86,DESIGNING_A_QUILT,(GREEN-AREA QUESTION2),1,compose-by-multiplication,15,11
87,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION2),1,compose-by-multiplication,16,11
88,DESIGNING_A_QUILT,(AREA QUESTION3),1,triangle-area,14,11
89,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),1,compose-by-multiplication,17,11
90,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),1,compose-by-multiplication,18,11
91,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION3),1,compose-by-multiplication,19,11
92,PENTAGON_ABCDE,(AREA QUESTION1),0,pentagon-area,4,11
93,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,5,11
94,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,6,11
95,TRIANGLE_ABC,(AREA QUESTION1),0,triangle-area,15,11
96,TRIANGLE_ABC,(BASE QUESTION3),0,triangle-area,16,11
97,TRIANGLE_ABC,(HEIGHT QUESTION2),0,triangle-area,17,11
98,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),0,triangle-area,18,11
99,TRIANGLE_BASE,(BASE QUESTION3),0,triangle-area,19,11
100,TRIANGLE_ABC,(AREA QUESTION1),0,triangle-area,20,11
101,TRIANGLE_ABC,(HEIGHT QUESTION2),0,triangle-area,21,11
102,TRIANGLE_ABC,(BASE QUESTION3),1,triangle-area,22,11
103,TRIANGLE_HEIGHT,(HEIGHT QUESTION2),1,triangle-area,23,11
104,TRIANGLE_BASE,(BASE QUESTION3),0,triangle-area,24,11
105,PENTAGON,(AREA QUESTION1),1,pentagon-area,7,11
106,PENTAGON,(SIDE QUESTION3),0,pentagon-area,8,11
107,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,9,11
108,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,10,11
109,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,11,11
110,PENTAGON_ABCDE,(APOTHEM QUESTION2),0,pentagon-area,12,11
111,PENTAGON,(AREA QUESTION1),1,pentagon-area,13,11
112,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,14,11
113,PENTAGON,(SIDE QUESTION3),1,pentagon-area,15,11
114,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,16,11
115,PENTAGON,(AREA QUESTION1),0,pentagon-area,17,11
116,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,18,11
117,PENTAGON,(SIDE QUESTION3),0,pentagon-area,19,11
118,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,20,11
119,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,21,11
120,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,22,11
121,PENTAGON,(AREA QUESTION1),1,pentagon-area,23,11
122,PENTAGON,(APOTHEM QUESTION2),1,pentagon-area,24,11
123,PENTAGON,(SIDE QUESTION3),1,pentagon-area,25,11
124,CIRCLE_O,(RADIUS QUESTION1),0,circle-diameter,1,11
125,CIRCLE_O,(AREA QUESTION1),1,circle-area,1,11
126,CIRCLE_O,(CIRCUMFERENCE QUESTION1),1,circle-circumference,1,11
127,CIRCLE_O,(DIAMETER QUESTION2),0,circle-diameter,2,11
128,CIRCLE_O,(AREA QUESTION2),0,circle-area,2,11
129,CIRCLE_O,(CIRCUMFERENCE QUESTION2),1,circle-circumference,2,11
130,CIRCLE_O,(RADIUS QUESTION3),0,circle-area,3,11
131,CIRCLE_O,(DIAMETER QUESTION3),0,circle-diameter,3,11
132,CIRCLE_O,(CIRCUMFERENCE QUESTION3),1,circle-circumference,3,11
133,CIRCLE_O,(DIAMETER QUESTION4),1,circle-circumference,4,11
134,CIRCLE_O,(RADIUS QUESTION4),0,circle-diameter,4,11
135,CIRCLE_O,(AREA QUESTION4),0,circle-area,4,11
136,LAWN_SPRINKLER,(AREA QUESTION1),0,circle-area,5,11
137,COVERING_POOL,(RADIUS QUESTION1),0,circle-area,6,11
138,COVERING_POOL,(DIAMETER QUESTION1),0,circle-diameter,5,11
139,DOG_ON_A_ROPE,(AREA QUESTION1),0,circle-area,7,11
140,DOG_ON_A_ROPE,(CIRCUMFERENCE QUESTION1),0,circle-circumference,5,11
141,LAWN_SPRINKLER_2,(TOTAL-LAWN-AREA QUESTION1),0,square-area,20,11
142,LAWN_SPRINKLER_2,(WATERED-LAWN-AREA QUESTION1),0,circle-area,8,11
143,LAWN_SPRINKLER_2,(UNWATERED-LAWN-AREA QUESTION1),0,compose-by-addition,7,11
144,CIRCLE_DIAMETER,(RADIUS QUESTION1),0,circle-diameter,6,11
145,CIRCLE_DIAMETER,(AREA QUESTION1),0,circle-area,9,11
146,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),0,circle-circumference,6,11
147,CIRCLE_RADIUS,(DIAMETER QUESTION2),0,circle-diameter,7,11
148,CIRCLE_RADIUS,(AREA QUESTION2),0,circle-area,10,11
149,CIRCLE_RADIUS,(CIRCUMFERENCE QUESTION2),1,circle-circumference,7,11
150,CIRCLE_AREA,(RADIUS QUESTION3),1,circle-area,11,11
151,CIRCLE_AREA,(DIAMETER QUESTION3),1,circle-diameter,8,11
152,CIRCLE_AREA,(CIRCUMFERENCE QUESTION3),1,circle-circumference,8,11
153,PENTAGON,(AREA QUESTION1),1,pentagon-area,1,6
154,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,2,6
155,PENTAGON,(SIDE QUESTION3),0,pentagon-area,3,6
156,TRIANGLE_RECTANGLE,(BASE QUESTION1),0,compose-by-multiplication,1,6
157,TRIANGLE_RECTANGLE,(AREA QUESTION1),0,triangle-area,1,6
158,DESIGNING_A_QUILT,(AREA QUESTION1),1,triangle-area,2,6
159,RECTANGLE_HEIGHT,(HEIGHT QUESTION2),0,square-area,1,40
160,RECTANGLE_BASE,(BASE QUESTION3),0,square-area,2,40
161,PARALLELOGRAM_HEIGHT,(HEIGHT QUESTION2),0,parallelogram-area,1,40
162,TRAPEZOID_ABCD,(AREA QUESTION1),0,trapezoid-area,1,40
163,PENTAGON_ABCDE,(AREA QUESTION1),0,pentagon-area,1,12
164,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,2,12
165,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,3,12
166,PENTAGON,(AREA QUESTION1),1,pentagon-area,4,12
167,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,5,12
168,PENTAGON,(SIDE QUESTION3),0,pentagon-area,6,12
169,PENTAGON_ABCDE,(AREA QUESTION1),1,pentagon-area,7,12
170,PENTAGON_ABCDE,(APOTHEM QUESTION2),1,pentagon-area,8,12
171,PENTAGON_ABCDE,(SIDE QUESTION3),1,pentagon-area,9,12
172,PENTAGON,(AREA QUESTION1),1,pentagon-area,10,12
173,PENTAGON,(APOTHEM QUESTION2),0,pentagon-area,11,12
174,PENTAGON,(SIDE QUESTION3),0,pentagon-area,12,12
175,CIRCLE_O,(RADIUS QUESTION1),1,circle-diameter,1,12
176,CIRCLE_O,(AREA QUESTION1),0,circle-area,1,12
177,CIRCLE_O,(CIRCUMFERENCE QUESTION1),1,circle-circumference,1,12
178,CIRCLE_O,(DIAMETER QUESTION2),1,circle-diameter,2,12
179,CIRCLE_O,(AREA QUESTION2),0,circle-area,2,12
180,CIRCLE_O,(CIRCUMFERENCE QUESTION2),1,circle-circumference,2,12
181,CIRCLE_O,(DIAMETER QUESTION4),1,circle-circumference,3,12
182,CIRCLE_O,(RADIUS QUESTION4),1,circle-diameter,3,12
183,CIRCLE_O,(AREA QUESTION4),1,circle-area,3,12
184,CIRCLE_O,(DIAMETER QUESTION3),0,circle-diameter,4,12
185,CIRCLE_O,(RADIUS QUESTION3),1,circle-area,4,12
186,CIRCLE_O,(CIRCUMFERENCE QUESTION3),1,circle-circumference,4,12
187,LAWN_SPRINKLER,(AREA QUESTION1),1,circle-area,5,12
188,COVERING_POOL,(RADIUS QUESTION1),1,circle-area,6,12
189,COVERING_POOL,(DIAMETER QUESTION1),0,circle-diameter,5,12
190,DOG_ON_A_ROPE,(AREA QUESTION1),1,circle-area,7,12
191,DOG_ON_A_ROPE,(CIRCUMFERENCE QUESTION1),1,circle-circumference,5,12
192,LAWN_SPRINKLER_2,(WATERED-LAWN-AREA QUESTION1),1,circle-area,8,12
193,LAWN_SPRINKLER_2,(TOTAL-LAWN-AREA QUESTION1),1,square-area,1,12
194,LAWN_SPRINKLER_2,(UNWATERED-LAWN-AREA QUESTION1),1,compose-by-addition,1,12
195,CIRCLE_DIAMETER,(RADIUS QUESTION1),1,circle-diameter,6,12
196,CIRCLE_DIAMETER,(AREA QUESTION1),1,circle-area,9,12
197,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),1,circle-circumference,6,12
198,CIRCLE_RADIUS,(DIAMETER QUESTION2),1,circle-diameter,7,12
199,CIRCLE_RADIUS,(AREA QUESTION2),1,circle-area,10,12
200,CIRCLE_RADIUS,(CIRCUMFERENCE QUESTION2),1,circle-circumference,7,12
201,CIRCLE_CIRCUMFERENCE,(DIAMETER QUESTION4),1,circle-circumference,8,12
202,CIRCLE_CIRCUMFERENCE,(RADIUS QUESTION4),1,circle-diameter,8,12
203,CIRCLE_CIRCUMFERENCE,(AREA QUESTION4),0,circle-area,11,12
204,CIRCLE_AREA,(RADIUS QUESTION3),0,circle-area,12,12
205,CIRCLE_AREA,(DIAMETER QUESTION3),1,circle-diameter,9,12
206,CIRCLE_AREA,(CIRCUMFERENCE QUESTION3),1,circle-circumference,9,12
207,COVERING_POOL,(RADIUS QUESTION1),1,circle-area,13,12
208,COVERING_POOL,(DIAMETER QUESTION1),1,circle-diameter,10,12
209,CIRCLE_DIAMETER,(RADIUS QUESTION1),1,circle-diameter,11,12
210,CIRCLE_DIAMETER,(AREA QUESTION1),1,circle-area,14,12
211,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),1,circle-circumference,10,12
212,TROGS,(SQUARE-AREA QUESTION1),1,square-area,2,12
213,TROGS,(TROG-HEIGHT QUESTION1),0,equi-tri-height?,1,12
214,TROGS,(TROG-AREA QUESTION1),1,triangle-area,1,12
215,TROGS,(SCRAP-METAL-AREA QUESTION1),1,compose-by-addition,2,12
216,TROGS,(SQUARE-AREA QUESTION2),1,square-area,3,12
217,TROGS,(TROG-HEIGHT QUESTION2),0,equi-tri-height?,2,12
218,TROGS,(TROG-AREA QUESTION2),1,triangle-area,2,12
219,TROGS,(SCRAP-METAL-AREA QUESTION2),1,compose-by-addition,3,12
220,TROGS,(TROG-HEIGHT QUESTION3),1,equi-tri-height?,3,12
221,TROGS,(TROG-AREA QUESTION3),1,triangle-area,3,12
222,TROGS,(SQUARE-AREA QUESTION3),1,square-area,4,12
223,TROGS,(SCRAP-METAL-AREA QUESTION3),1,compose-by-addition,4,12
224,WATERING_VEGGIES,(WATERED-AREA QUESTION1),1,circle-area,15,12
225,WATERING_VEGGIES,(TOTAL-GARDEN QUESTION1),1,square-area,5,12
226,WATERING_VEGGIES,(UNWATERED-AREA QUESTION1),1,compose-by-addition,5,12
227,POGS,(SCRAP-METAL-AREA QUESTION1),0,compose-by-addition,6,12
228,POGS,(SCRAP-METAL-AREA QUESTION2),1,compose-by-addition,7,12
229,POGS,(SCRAP-METAL-AREA QUESTION3),1,compose-by-addition,8,12
230,DOG_ON_A_ROPE,(AREA QUESTION1),0,circle-area,1,5
231,DOG_ON_A_ROPE,(CIRCUMFERENCE QUESTION1),1,circle-circumference,1,5
232,LAWN_SPRINKLER,(AREA QUESTION1),1,circle-area,2,5
233,LAWN_SPRINKLER_2,(WATERED-LAWN-AREA QUESTION1),1,circle-area,3,5
234,LAWN_SPRINKLER_2,(TOTAL-LAWN-AREA QUESTION1),0,square-area,1,5
235,LAWN_SPRINKLER_2,(UNWATERED-LAWN-AREA QUESTION1),1,compose-by-addition,1,5
236,LAWN_SPRINKLER,(AREA QUESTION1),1,circle-area,4,5
237,TROGS,(TROG-HEIGHT QUESTION1),0,equi-tri-height?,1,5
238,TROGS,(TROG-AREA QUESTION1),1,triangle-area,1,5
239,TROGS,(SQUARE-AREA QUESTION1),1,square-area,2,5
240,TROGS,(SCRAP-METAL-AREA QUESTION1),0,compose-by-addition,2,5
241,TROGS,(SQUARE-AREA QUESTION2),1,square-area,3,5
242,TROGS,(TROG-HEIGHT QUESTION2),0,equi-tri-height?,2,5
243,TROGS,(TROG-AREA QUESTION2),0,triangle-area,2,5
244,TROGS,(SCRAP-METAL-AREA QUESTION2),1,compose-by-addition,3,5
245,TROGS,(SQUARE-AREA QUESTION3),1,square-area,4,5
246,TROGS,(TROG-HEIGHT QUESTION3),1,equi-tri-height?,3,5
247,TROGS,(TROG-AREA QUESTION3),1,triangle-area,3,5
248,TROGS,(SCRAP-METAL-AREA QUESTION3),0,compose-by-addition,4,5
249,WATERING_VEGGIES,(WATERED-AREA QUESTION1),0,circle-area,5,5
250,WATERING_VEGGIES,(TOTAL-GARDEN QUESTION1),0,square-area,5,5
251,WATERING_VEGGIES,(UNWATERED-AREA QUESTION1),0,compose-by-addition,5,5
252,POGS,(POG-AREA QUESTION1),0,circle-area,6,5
253,POGS,(SQUARE-AREA QUESTION1),1,square-area,6,5
254,POGS,(SCRAP-METAL-AREA QUESTION1),0,compose-by-addition,6,5
255,POGS,(POG-AREA QUESTION2),1,circle-area,7,5
256,POGS,(SQUARE-AREA QUESTION2),1,square-area,7,5
257,POGS,(SCRAP-METAL-AREA QUESTION2),1,compose-by-addition,7,5
258,POGS,(POG-AREA QUESTION3),1,circle-area,8,5
259,POGS,(SQUARE-AREA QUESTION3),1,square-area,8,5
260,POGS,(SCRAP-METAL-AREA QUESTION3),0,compose-by-addition,8,5
261,COVERING_POOL,(RADIUS QUESTION1),0,circle-area,1,14
262,COVERING_POOL,(DIAMETER QUESTION1),0,circle-diameter,1,14
263,CIRCLE_DIAMETER,(RADIUS QUESTION1),0,circle-diameter,2,14
264,CIRCLE_DIAMETER,(AREA QUESTION1),1,circle-area,2,14
265,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),1,circle-circumference,1,14
266,CIRCLE_AREA,(RADIUS QUESTION3),0,circle-area,3,14
267,CIRCLE_AREA,(DIAMETER QUESTION3),0,circle-diameter,3,14
268,CIRCLE_AREA,(CIRCUMFERENCE QUESTION3),1,circle-circumference,2,14
269,CIRCLE_CIRCUMFERENCE,(DIAMETER QUESTION4),0,circle-circumference,3,14
270,CIRCLE_CIRCUMFERENCE,(RADIUS QUESTION4),1,circle-diameter,4,14
271,CIRCLE_CIRCUMFERENCE,(AREA QUESTION4),1,circle-area,4,14
272,CIRCLE_O,(RADIUS QUESTION1),1,circle-diameter,5,14
273,CIRCLE_O,(AREA QUESTION1),1,circle-area,5,14
274,CIRCLE_O,(CIRCUMFERENCE QUESTION1),0,circle-circumference,4,14
275,CIRCLE_O,(DIAMETER QUESTION2),1,circle-diameter,6,14
276,CIRCLE_O,(AREA QUESTION2),0,circle-area,6,14
277,CIRCLE_O,(CIRCUMFERENCE QUESTION2),1,circle-circumference,5,14
278,CIRCLE_O,(RADIUS QUESTION3),1,circle-area,7,14
279,CIRCLE_O,(DIAMETER QUESTION3),1,circle-diameter,7,14
280,CIRCLE_O,(CIRCUMFERENCE QUESTION3),1,circle-circumference,6,14
281,CIRCLE_O,(RADIUS QUESTION4),0,circle-diameter,8,14
282,CIRCLE_O,(DIAMETER QUESTION4),0,circle-circumference,7,14
283,CIRCLE_O,(AREA QUESTION4),1,circle-area,8,14
284,COVERING_POOL,(RADIUS QUESTION1),1,circle-area,9,14
285,COVERING_POOL,(DIAMETER QUESTION1),1,circle-diameter,9,14
286,CIRCLE_DIAMETER,(RADIUS QUESTION1),1,circle-diameter,10,14
287,CIRCLE_DIAMETER,(AREA QUESTION1),1,circle-area,10,14
288,CIRCLE_DIAMETER,(CIRCUMFERENCE QUESTION1),1,circle-circumference,8,14
289,TROGS,(TROG-HEIGHT QUESTION1),0,equi-tri-height?,1,14
290,TROGS,(TROG-AREA QUESTION1),1,triangle-area,1,14
291,TROGS,(SQUARE-AREA QUESTION1),1,square-area,1,14
292,TROGS,(SCRAP-METAL-AREA QUESTION1),1,compose-by-addition,1,14
293,TROGS,(TROG-HEIGHT QUESTION2),0,equi-tri-height?,2,14
294,TROGS,(TROG-AREA QUESTION2),1,triangle-area,2,14
295,TROGS,(SQUARE-AREA QUESTION2),0,square-area,2,14
296,TROGS,(SCRAP-METAL-AREA QUESTION2),1,compose-by-addition,2,14
297,TROGS,(TROG-HEIGHT QUESTION3),1,equi-tri-height?,3,14
298,TROGS,(TROG-AREA QUESTION3),0,triangle-area,3,14
299,TROGS,(SQUARE-AREA QUESTION3),1,square-area,3,14
300,TROGS,(SCRAP-METAL-AREA QUESTION3),1,compose-by-addition,3,14
301,WATERING_VEGGIES,(TOTAL-GARDEN QUESTION1),1,square-area,4,14
302,WATERING_VEGGIES,(WATERED-AREA QUESTION1),0,circle-area,11,14
303,WATERING_VEGGIES,(UNWATERED-AREA QUESTION1),0,compose-by-addition,4,14
304,POGS,(POG-AREA QUESTION1),1,circle-area,12,14
305,POGS,(SQUARE-AREA QUESTION1),1,square-area,5,14
306,POGS,(SCRAP-METAL-AREA QUESTION1),0,compose-by-addition,5,14
307,POGS,(POG-AREA QUESTION2),1,circle-area,13,14
308,POGS,(SQUARE-AREA QUESTION2),1,square-area,6,14
309,POGS,(SCRAP-METAL-AREA QUESTION2),0,compose-by-addition,6,14
310,POGS,(POG-AREA QUESTION3),1,circle-area,14,14
311,POGS,(SQUARE-AREA QUESTION3),1,square-area,7,14
312,POGS,(SCRAP-METAL-AREA QUESTION3),1,compose-by-addition,7,14
313,TWO_CIRCLES_IN_CIRCLE,(CIRCLE-AREA_O QUESTION1),1,circle-area,1,22
314,TWO_CIRCLES_IN_CIRCLE,(CIRCLE-AREA_A QUESTION1),0,circle-area,2,22
315,TWO_CIRCLES_IN_CIRCLE,(CIRCLE-AREA_S QUESTION1),1,circle-area,3,22
316,TWO_CIRCLES_IN_CIRCLE,(SHADED-AREA QUESTION1),0,compose-by-addition,1,22
317,TWO_CIRCLES_IN_SQUARE,(CIRCLE-AREA QUESTION1),1,circle-area,4,22
318,TWO_CIRCLES_IN_SQUARE,(SQUARE-BASE QUESTION1),0,compose-by-multiplication,1,22
319,TWO_CIRCLES_IN_SQUARE,(SHADED-AREA QUESTION1),0,compose-by-addition,2,22
320,RECTANGLE_AREA,(AREA QUESTION1),1,square-area,1,22
321,PARALLELOGRAM_AREA,(AREA QUESTION1),1,parallelogram-area,1,22
322,POGS,(POG-AREA QUESTION1),1,circle-area,5,22
323,POGS,(POG-AREA QUESTION2),1,circle-area,6,22
324,POGS,(POG-AREA QUESTION3),1,circle-area,7,22
325,POGS,(SQUARE-AREA QUESTION1),1,square-area,2,22
326,POGS,(SQUARE-AREA QUESTION2),1,square-area,3,22
327,POGS,(SQUARE-AREA QUESTION3),1,square-area,4,22
328,POGS,(SCRAP-METAL-AREA QUESTION1),1,compose-by-addition,3,22
329,POGS,(SCRAP-METAL-AREA QUESTION2),1,compose-by-addition,4,22
330,POGS,(SCRAP-METAL-AREA QUESTION3),1,compose-by-addition,5,22
331,TRIANGLE_AREA,(AREA QUESTION1),1,triangle-area,1,22
332,TRIANGLE_RECTANGLE,(BASE QUESTION1),1,compose-by-multiplication,2,22
333,TRIANGLE_RECTANGLE,(AREA QUESTION1),0,triangle-area,2,22
334,DESIGNING_A_QUILT,(AREA QUESTION1),1,triangle-area,3,22
335,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),1,compose-by-multiplication,3,22
336,DESIGNING_A_QUILT,(GREEN-AREA QUESTION1),1,compose-by-multiplication,4,22
337,DESIGNING_A_QUILT,(PURPLE-AREA QUESTION1),1,compose-by-multiplication,5,22
338,DESIGNING_A_QUILT,(AREA QUESTION2),1,triangle-area,4,22
339,DESIGNING_A_QUILT,(AREA QUESTION3),1,triangle-area,5,22
340,DESIGNING_A_QUILT,(WHITE-AREA QUESTION3),1,compose-by-multiplication,6,22
341,DESIGNING_A_QUILT,(GREEN-AREA QUESTION3),1,compose-by-multiplication,7,22
